mechanism_edge_id,source_node,relation_type,target_node,global_claim_id,candidate_claim_id,paper_id,reading_tier,support_type,evidence_grade,condition_domain,source_locator_id,boundary_conditions,status,notes
GME-0079,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0001,T2-A025-C01,A025,tier2,author_interpretation,supporting,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A025-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",indirectly_supported,Source mechanism relation MECH-A025-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0080,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0006,T2-B003-C01,B003,tier2,simulation_resolved,moderate,nonreacting underexpanded gas jets,LOC-B003-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",directly_supported,Source mechanism relation MECH-B003-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0081,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0009,T2-B003-C03,B003,tier2,model_based,supporting,transient and quasi-steady underexpanded gas jets,LOC-B003-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",indirectly_supported,Source mechanism relation MECH-B003-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0082,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0050,T2-B007-C03,B007,tier2,author_interpretation,supporting,B-library source condition,LOC-B007-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-B007-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0083,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0014,T2-B016-C01,B016,tier2,author_interpretation,supporting,underexpanded high-pressure gas jets,LOC-B016-0002,Evidence is numerical or correlation-based and does not directly measure pilot-spray loading.,indirectly_supported,Source mechanism relation MECH-B016-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0084,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0007,T2-B017-C01,B017,tier2,author_interpretation,supporting,transient high-pressure gas injection,LOC-B017-0002,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",indirectly_supported,Source mechanism relation MECH-B017-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0085,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0007,T2-B017-C02,B017,tier2,author_interpretation,supporting,transient high-pressure gas injection,LOC-B017-0002,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",indirectly_supported,Source mechanism relation MECH-B017-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0086,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0007,T2-B017-C03,B017,tier2,author_interpretation,supporting,transient high-pressure gas injection,LOC-B017-0003,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",indirectly_supported,Source mechanism relation MECH-B017-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0087,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0012,T2-B019-C03,B019,tier2,model_based,supporting,free and high-pressure underexpanded jets,LOC-B019-0003,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",indirectly_supported,Source mechanism relation MECH-B019-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0088,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0009,T2-B024-C02,B024,tier2,author_interpretation,supporting,transient and quasi-steady underexpanded gas jets,LOC-B024-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",indirectly_supported,Source mechanism relation MECH-B024-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0089,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0009,T2-B024-C03,B024,tier2,author_interpretation,supporting,transient and quasi-steady underexpanded gas jets,LOC-B024-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",indirectly_supported,Source mechanism relation MECH-B024-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0090,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0006,T2-B030-C01,B030,tier2,author_interpretation,supporting,nonreacting underexpanded gas jets,LOC-B030-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",indirectly_supported,Source mechanism relation MECH-B030-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0091,pressure_release_condition,correlates_with,jet_and_shock_structure,GC-0006,T2-B030-C02,B030,tier2,author_interpretation,supporting,nonreacting underexpanded gas jets,LOC-B030-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",indirectly_supported,Source mechanism relation MECH-B030-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0092,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0022,T2-C001-C01,C001,tier2,author_interpretation,supporting,ordered multi-droplet shock interaction,LOC-C001-0002,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,indirectly_supported,Source mechanism relation MECH-C001-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0093,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0022,T2-C001-C03,C001,tier2,author_interpretation,supporting,ordered multi-droplet shock interaction,LOC-C001-0003,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,indirectly_supported,Source mechanism relation MECH-C001-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0094,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0030,T2-C002-C01,C002,tier2,author_interpretation,supporting,secondary atomization literature,LOC-C002-0001,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,indirectly_supported,Source mechanism relation MECH-C002-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0095,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0030,T2-C002-C02,C002,tier2,author_interpretation,supporting,secondary atomization literature,LOC-C002-0001,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,indirectly_supported,Source mechanism relation MECH-C002-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0096,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0030,T2-C002-C03,C002,tier2,author_interpretation,supporting,secondary atomization literature,LOC-C002-0001,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,indirectly_supported,Source mechanism relation MECH-C002-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0097,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0029,T2-C006-C01,C006,tier2,author_interpretation,supporting,shock-driven droplet modelling,LOC-C006-0002,Model comparisons use different validation observables and condition ranges; C004 is missing.,indirectly_supported,Source mechanism relation MECH-C006-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0098,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0029,T2-C006-C02,C006,tier2,author_interpretation,supporting,shock-driven droplet modelling,LOC-C006-0003,Model comparisons use different validation observables and condition ranges; C004 is missing.,indirectly_supported,Source mechanism relation MECH-C006-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0099,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0029,T2-C006-C03,C006,tier2,experimental_correlation,moderate,shock-driven droplet modelling,LOC-C006-0003,Model comparisons use different validation observables and condition ranges; C004 is missing.,directly_supported,Source mechanism relation MECH-C006-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0100,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C010-C01,C010,tier2,model_based,supporting,shock-driven and continuous-flow aerobreakup,LOC-C010-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C010-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0101,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C010-C03,C010,tier2,model_based,supporting,shock-driven and continuous-flow aerobreakup,LOC-C010-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C010-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0102,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C015-C02,C015,tier2,author_interpretation,supporting,shock-driven and continuous-flow aerobreakup,LOC-C015-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C015-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0103,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C015-C03,C015,tier2,author_interpretation,supporting,shock-driven and continuous-flow aerobreakup,LOC-C015-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C015-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0104,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0020,T2-C017-C02,C017,tier2,model_based,supporting,shock-droplet interaction including supercritical states,LOC-C017-0002,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",indirectly_supported,Source mechanism relation MECH-C017-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0105,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0051,T2-C020-C01,C020,tier2,author_interpretation,supporting,C-library source condition,LOC-C020-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-C020-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0106,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C020-C02,C020,tier2,author_interpretation,supporting,shock-driven and continuous-flow aerobreakup,LOC-C020-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C020-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0107,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0021,T2-C020-C03,C020,tier2,author_interpretation,supporting,shock-driven and continuous-flow aerobreakup,LOC-C020-0002,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C020-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0108,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0023,T2-C022-C03,C022,tier2,author_interpretation,supporting,shock-driven secondary breakup,LOC-C022-0002,"Diagnostics, sampling time, and fragment definitions differ and are sparse.",indirectly_supported,Source mechanism relation MECH-C022-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0109,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0030,T2-C023-C02,C023,tier2,model_based,supporting,secondary atomization literature,LOC-C023-0002,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,indirectly_supported,Source mechanism relation MECH-C023-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0110,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0017,T2-C023-C03,C023,tier2,model_based,supporting,post-shock and supersonic-flow droplet loading,LOC-C023-0002,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",indirectly_supported,Source mechanism relation MECH-C023-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0111,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,GC-0027,T2-C026-C02,C026,tier2,direct_observation,strong,experimental high-Weber-number droplets above 100 micrometres,LOC-C026-0002,"The statement is limited to deformation and the reported observation interval, not later breakup or smaller droplets.",directly_supported,Source mechanism relation MECH-C026-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0112,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,GC-0025,T2-C030-C02,C030,tier2,author_interpretation,supporting,modelled shock/aerodynamic droplet phase change,LOC-C030-0002,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",indirectly_supported,Source mechanism relation MECH-C030-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0113,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,GC-0025,T2-C030-C03,C030,tier2,model_based,supporting,modelled shock/aerodynamic droplet phase change,LOC-C030-0002,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",indirectly_supported,Source mechanism relation MECH-C030-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0114,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,GC-0028,T2-C033-C01,C033,tier2,direct_observation,strong,planar shock interaction with dilute droplet clouds,LOC-C033-0002,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",directly_supported,Source mechanism relation MECH-C033-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0115,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,GC-0028,T2-C033-C02,C033,tier2,author_interpretation,supporting,planar shock interaction with dilute droplet clouds,LOC-C033-0002,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",indirectly_supported,Source mechanism relation MECH-C033-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0116,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,GC-0028,T2-C033-C03,C033,tier2,direct_observation,strong,planar shock interaction with dilute droplet clouds,LOC-C033-0002,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",directly_supported,Source mechanism relation MECH-C033-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0117,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,GC-0028,T2-C034-C01,C034,tier2,experimental_correlation,moderate,planar shock interaction with dilute droplet clouds,LOC-C034-0002,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",directly_supported,Source mechanism relation MECH-C034-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0118,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,GC-0028,T2-C034-C02,C034,tier2,experimental_correlation,moderate,planar shock interaction with dilute droplet clouds,LOC-C034-0002,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",directly_supported,Source mechanism relation MECH-C034-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0119,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0036,T2-D002-C01,D002,tier2,author_interpretation,supporting,high-pressure diesel spray and vessel/engine-relevant conditions,LOC-D002-0002,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,indirectly_supported,Source mechanism relation MECH-D002-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0120,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0036,T2-D002-C03,D002,tier2,author_interpretation,supporting,high-pressure diesel spray and vessel/engine-relevant conditions,LOC-D002-0002,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,indirectly_supported,Source mechanism relation MECH-D002-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0121,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0036,T2-D005-C01,D005,tier2,author_interpretation,supporting,high-pressure diesel spray and vessel/engine-relevant conditions,LOC-D005-0002,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,indirectly_supported,Source mechanism relation MECH-D005-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0122,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0036,T2-D005-C02,D005,tier2,author_interpretation,supporting,high-pressure diesel spray and vessel/engine-relevant conditions,LOC-D005-0002,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,indirectly_supported,Source mechanism relation MECH-D005-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0123,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0036,T2-D005-C03,D005,tier2,author_interpretation,supporting,high-pressure diesel spray and vessel/engine-relevant conditions,LOC-D005-0002,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,indirectly_supported,Source mechanism relation MECH-D005-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0124,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D007-C02,D007,tier2,model_based,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D007-0002,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D007-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0125,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D010-C02,D010,tier2,model_based,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D010-0002,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D010-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0126,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D011-C01,D011,tier2,model_based,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D011-0001,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D011-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0127,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D011-C02,D011,tier2,author_interpretation,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D011-0001,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D011-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0128,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D013-C01,D013,tier2,model_based,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D013-0002,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D013-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0129,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D013-C03,D013,tier2,model_based,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D013-0002,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D013-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0130,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0033,T2-D014-C01,D014,tier2,model_based,supporting,modelled two-phase detonation flow,LOC-D014-0002,Single modelling framework and wave-relative coordinate system.,indirectly_supported,Source mechanism relation MECH-D014-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0131,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0033,T2-D014-C02,D014,tier2,model_based,supporting,modelled two-phase detonation flow,LOC-D014-0002,Single modelling framework and wave-relative coordinate system.,indirectly_supported,Source mechanism relation MECH-D014-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0132,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0033,T2-D014-C03,D014,tier2,model_based,supporting,modelled two-phase detonation flow,LOC-D014-0002,Single modelling framework and wave-relative coordinate system.,indirectly_supported,Source mechanism relation MECH-D014-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0133,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D015-C02,D015,tier2,author_interpretation,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D015-0003,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D015-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0134,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0032,T2-D015-C03,D015,tier2,author_interpretation,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D015-0003,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",indirectly_supported,Source mechanism relation MECH-D015-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0135,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,GC-0034,T2-D016-C02,D016,tier2,author_interpretation,supporting,water and hydrocarbon droplets under detonation waves,LOC-D016-0002,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,indirectly_supported,Source mechanism relation MECH-D016-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0136,higher gas-rail pressure,promotes,mixing after injection,GC-0003,T2-A002-C01,A002,tier2,simulation_resolved,moderate,pilot-ignited natural-gas engine conditions,LOC-A002-0002,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",directly_supported,Source mechanism relation MECH-A002-001; Mechanistic link is supported by reacting-CFD comparison.
GME-0137,improved mixing,promotes,efficiency and PM benefit,GC-0003,T2-A002-C02,A002,tier2,author_interpretation,strong,pilot-ignited natural-gas engine conditions,LOC-A002-0003,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",indirectly_supported,Source mechanism relation MECH-A002-002; Outcome is load-dependent and accompanied by noise/NOx tradeoffs.
GME-0138,paired-hole interaction,promotes,early entrainment,GC-0004,T2-A005-C01,A005,tier2,simulation_resolved,moderate,pilot-ignited gaseous direct injection,LOC-A005-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,directly_supported,Source mechanism relation MECH-A005-001; At equal penetration.
GME-0139,longer residence at 2<phi_g<6,promotes,soot formation and engine-out PM,GC-0004,T2-A005-C02,A005,tier2,author_interpretation,supporting,pilot-ignited gaseous direct injection,LOC-A005-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,indirectly_supported,Source mechanism relation MECH-A005-002; Mechanism reconciles increased entrainment with increased PM.
GME-0140,ambient pressure and temperature,modifies,pilot chemical ignition delay and overlap sensitivity,GC-0002,T2-A009-C01,A009,tier2,direct_observation,strong,pilot-ignited gaseous direct injection,LOC-A009-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",directly_supported,Source mechanism relation MECH-A009-001; Low reactivity gives adjacent gas more time to disturb pilot mixture formation.
GME-0141,gas ignition timing relative to gas SOI,correlates_with,premixing degree and HRR shape,GC-0001,T2-A009-C02,A009,tier2,experimental_correlation,moderate,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A009-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",directly_supported,Source mechanism relation MECH-A009-002; Used as a cross-condition organizing variable.
GME-0142,relative injection timing,modifies,premixing degree and combustion regime,GC-0001,T2-A011-C01,A011,tier2,direct_observation,strong,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A011-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",directly_supported,Source mechanism relation MECH-A011-001; Transition spans non-premixed to flame-propagation regimes.
GME-0143,injection pressure,promotes,mixing-controlled HRR after ignition,GC-0003,T2-A011-C02,A011,tier2,direct_observation,strong,pilot-ignited natural-gas engine conditions,LOC-A011-0002,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",directly_supported,Source mechanism relation MECH-A011-002; Separates ignition control from later mixing control.
GME-0144,pilot-derived heat and radicals,promotes,NG ignition,GC-0002,T2-A012-C01,A012,tier2,simulation_resolved,moderate,pilot-ignited gaseous direct injection,LOC-A012-0003,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",directly_supported,Source mechanism relation MECH-A012-001; Pilot trigger is necessary for the simulated operating point.
GME-0145,H and OH radical concentration,modifies,NG ignition delay,GC-0043,T2-A012-C02,A012,tier2,model_based,supporting,A-library source condition,LOC-A012-0001,Zero-dimensional chemistry isolates kinetics and omits turbulent transport.,indirectly_supported,Source mechanism relation MECH-A012-002; Only conditional within HRM state range.
GME-0146,real-gas EoS,modifies,exit density/velocity/mass flow,GC-0013,T2-B008-C01,B008,tier2,simulation_resolved,moderate,high-pressure gas-jet simulation,LOC-B008-0002,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",directly_supported,Source mechanism relation MECH-B008-001; Largest differences occur in exit state.
GME-0147,changed exit state,modifies,"centerline temperature, pressure, and Mach profiles",GC-0013,T2-B008-C02,B008,tier2,simulation_resolved,moderate,high-pressure gas-jet simulation,LOC-B008-0003,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",directly_supported,Source mechanism relation MECH-B008-002; Mach-disk geometry changes were smaller than field-profile changes.
GME-0148,smaller spacing ratio,promotes,equatorial velocity and shear,GC-0022,T2-C036-C01,C036,tier2,model_based,moderate,ordered multi-droplet shock interaction,LOC-C036-0003,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,indirectly_supported,Source mechanism relation MECH-C036-001; Potential-flow cylinder-array analogue.
GME-0149,pressure/shear redistribution,modifies,parallel-droplet breakup mode,GC-0022,T2-C036-C02,C036,tier2,experimental_correlation,strong,ordered multi-droplet shock interaction,LOC-C036-0004,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,directly_supported,Source mechanism relation MECH-C036-002; Low-We bending and high-We channel closure distinguished.
GME-0150,shorter_pilot_to_gas_injection_interval,correlates_with,heat_release_and_combustion_stability,GC-0003,T3-A003-C01,A003,tier3,experimental_correlation,moderate,pilot-ignited natural-gas engine conditions,LOC-A003-0002,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",directly_supported,Source mechanism relation MECH-A003-001; Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
