process_relation_id,paper_id,case_id,condition_id,source_process,relation_type,target_process,support_type,source_locator_id,verification_status,notes
PROC-B021-001,B021,B021-NPR,B021-NPR,NPR_increase,correlates_with,Mach_disk_height_and_diameter_increase,simulation_resolved,LOC-B021-0004,verified,State and nozzle diameter fixed.
PROC-B021-002,B021,B021-ICE,B021-ICE,ambient_temperature_increase,promotes,hydrogen_radial_diffusion,simulation_resolved,LOC-B021-0007,verified,Mach-disk position unchanged at fixed NPR.
PROC-B021-003,B021,B021-MULTI,B021-MULTI,expansion_waves_into_interjet_region,author_attributes_to,low_pressure_region_and_jet_deflection,author_interpretation,LOC-B021-0008,verified,Preliminary multi-jet result.
PROC-C029-001,C029,C029-TEMP,C029-TEMP,temperature_crossing_Widom_line,modifies,speed_of_sound_ratio_and_shock_refraction,simulation_resolved,LOC-C029-0006,verified,n=1 separates diverging and converging behavior.
PROC-C029-002,C029,C029-T650,C029-T650,refracted_shock_convergence,promotes,localized_pressure_peak_and_axial_jetting,simulation_resolved,LOC-C029-0006,verified,Strongly convergent case.
PROC-C029-003,C029,C029-MACH,C029-MACH,incident_shock_strength_increase,modifies,pressure_distribution_circulation_and_droplet_morphology,simulation_resolved,LOC-C029-0009,verified,SoS ratio remains fixed.
PROC-D019-001,D019,D019-ALL,D019-ALL,detonation_reaction_heat_release,promotes,reflected_shock_propagation_speed,model_based,LOC-D019-0006,verified,Authors derive dependence through postwave velocities and sound speeds.
PROC-D019-002,D019,D019-ALL,D019-ALL,detonation_postwave_pressure_attenuation,promotes,earlier_asymmetric_cavitation_collapse,simulation_resolved,LOC-D019-0007,verified,Mechanical phase-transition dynamics; thermal conduction excluded.
PROC-D019-003,D019,D019-ALL,D019-ALL,postwave_velocity_difference,modifies,droplet_deformation_and_breakup_mode,simulation_resolved,LOC-D019-0008,verified,Detonation suppresses shock-case RT-driven forward jet and favors leeward flattening.
PROC-A002-001,A002,A002-HPDI,,higher gas injection pressure,promotes,mass injection rate and fuel-air mixing,simulation_resolved,LOC-A002-0002,verified,Paper attributes faster combustion and improved oxidation to injection-rate/mixing changes.
PROC-A002-002,A002,A002-HPDI,,enhanced late-cycle mixing,promotes,fuel conversion and particulate oxidation,author_interpretation,LOC-A002-0003,verified,Engine and CFD evidence are combined in the conclusion.
PROC-A005-001,A005,A005-NOZZLES,,paired-jet interaction,promotes,early air entrainment at equal penetration,simulation_resolved,LOC-A005-0002,verified,The design achieved its immediate entrainment objective.
PROC-A005-002,A005,A005-NOZZLES,,paired-jet partial mixing and slower penetration,promotes,fuel residence in soot-forming equivalence-ratio range,author_interpretation,LOC-A005-0002,verified,Used to explain increased PM despite enhanced entrainment.
PROC-A009-001,A009,A009-RCM,,greater pilot/gas spatial overlap at low ambient reactivity,suppresses,pilot ignition stability,direct_observation,LOC-A009-0002,verified,Ignition shifted downstream and could misfire when free path fell below lift-off length.
PROC-A009-002,A009,A009-RCM,,relative injection timing,modifies,natural-gas premixing and heat-release mode,direct_observation,LOC-A009-0002,verified,Same degree of premixing produced similar heat release across elevated states.
PROC-A011-001,A011,A011-OPTICAL,,relative injection timing,modifies,NG premixing and primary combustion mode,direct_observation,LOC-A011-0002,verified,Dominant control compared with injection pressure for ignition.
PROC-A011-002,A011,A011-OPTICAL,,higher NG injection pressure,promotes,mixing rate during non-premixed combustion,direct_observation,LOC-A011-0002,verified,Ignition remained comparatively insensitive to pressure.
PROC-A012-001,A012,A012-HPDI,,diesel-pilot combustion,promotes,natural-gas ignition,simulation_resolved,LOC-A012-0003,verified,NG-only CFD did not ignite at the selected condition.
PROC-A012-002,A012,A012-HPDI,,temperature and realistic H/OH radicals,modifies,homogeneous-reactor ignition delay,model_based,LOC-A012-0003,verified,Temperature dominates above 1100 K; radicals matter in an intermediate temperature band.
PROC-B008-001,B008,B008-H2,,real-gas equation of state,modifies,nozzle-exit state and downstream shock-cell thermodynamics,simulation_resolved,LOC-B008-0003,verified,Jet topology persists but quantitative fields change.
PROC-C036-001,C036,C036-PARALLEL,,reduced L/D,promotes,equatorial gap acceleration and shear,model_based,LOC-C036-0003,verified,Potential-flow analysis supports the mechanism.
PROC-C036-002,C036,C036-PARALLEL,,gap pressure/shear redistribution,modifies,"bending direction, filament formation, and channel closure",experimental_correlation,LOC-C036-0004,verified,Different effects dominate low- and high-We regimes.
PROC-A001-001,A001,A001-ENGINE,,higher injection pressure,promotes,fuel-oxidizer mixing and soot oxidation,author_interpretation,LOC-A001-0002,verified,Effect weakens at low load/high differential pressure and with greater engine-speed turbulence.
PROC-A006-001,A006,A006-SPC,,delaying pilot relative to NG injection,promotes,pre-ignition NG premixing and PM reduction,experimental_correlation,LOC-A006-0002,verified,EQR adjustment mitigated methane/NOx tradeoff at the optimized point.
PROC-A008-001,A008,A008-CFD,,temperature and premixing degree,modifies,transition between mixing-limited and chemistry-limited combustion,simulation_resolved,LOC-A008-0003,verified,Complex chemistry mattered more for colder/more premixed states.
PROC-B006-001,B006,B006-H2,,injection pressure and chamber density,modifies,transient jet-tip penetration,experimental_correlation,LOC-B006-0002,verified,Penetration rose with pressure and fell with density.
PROC-B018-001,B018,B018-CH4,,time-varying upstream pressure and NPR during pintle opening,modifies,underexpanded-jet topology and Mach-disk height,experimental_correlation,LOC-B018-0002,verified,Compressibility and pintle motion make Mach-disk height transient.
PROC-C005-001,C005,C005-BREAKUP,,rim capillary retraction versus aerodynamic shear,modifies,transition from multibag to shear breakup,simulation_resolved,LOC-C005-0003,verified,We=80 rim retracts; We=120 rim is sheared downstream.
PROC-C011-001,C011,C011-SINGLE,,incident-shock impulse,modifies,droplet internal-flow saddle-point position,simulation_resolved,LOC-C011-0002,verified,Authors infer early shock imprint rather than continuous postshock setting.
PROC-D001-001,D001,D001-DIESEL,,higher ambient temperature and density,suppresses,spray-tip shock generation,direct_observation,LOC-D001-0002,verified,Temperature raises sound speed; density decelerates the tip during injection ramp-up.
